"id","item","resp","cov_ideology","cov_party_id","cov_age_band","cov_gender"
391,IMM_6,4,,4,30-39,Female
391,IMM_7,0,,4,30-39,Female
391,IMM_10,4,,4,30-39,Female
391,IMM_3,4,,4,30-39,Female
391,IMM_5,4,,4,30-39,Female
391,IMM_1,4,,4,30-39,Female
391,IMM_4,4,,4,30-39,Female
391,IMM_9,4,,4,30-39,Female
391,IMM_8,4,,4,30-39,Female
391,IMM_2,4,,4,30-39,Female
655,IMM_1,4,,4,40-49,Male
655,IMM_4,0,,4,40-49,Male
655,IMM_8,0,,4,40-49,Male
655,IMM_10,0,,4,40-49,Male
655,IMM_6,0,,4,40-49,Male
655,IMM_2,0,,4,40-49,Male
655,IMM_7,3,,4,40-49,Male
655,IMM_3,4,,4,40-49,Male
655,IMM_5,3,,4,40-49,Male
655,IMM_9,0,,4,40-49,Male
1018,IMM_2,1,,3,18-29,Female
1018,IMM_5,1,,3,18-29,Female
1018,IMM_4,1,,3,18-29,Female
1018,IMM_6,3,,3,18-29,Female
1018,IMM_8,3,,3,18-29,Female
1018,IMM_3,2,,3,18-29,Female
1018,IMM_1,1,,3,18-29,Female
1018,IMM_10,1,,3,18-29,Female
1018,IMM_9,2,,3,18-29,Female
1018,IMM_7,1,,3,18-29,Female
1075,IMM_9,1,,3,30-39,Female
1075,IMM_8,3,,3,30-39,Female
1075,IMM_5,2,,3,30-39,Female
1075,IMM_1,3,,3,30-39,Female
1075,IMM_2,3,,3,30-39,Female
1075,IMM_7,4,,3,30-39,Female
1075,IMM_4,2,,3,30-39,Female
1075,IMM_10,3,,3,30-39,Female
1075,IMM_3,2,,3,30-39,Female
1075,IMM_6,4,,3,30-39,Female
2401,IMM_4,2,,4,18-29,Male
2401,IMM_5,2,,4,18-29,Male
2401,IMM_3,4,,4,18-29,Male
2401,IMM_6,2,,4,18-29,Male
2401,IMM_8,3,,4,18-29,Male
2401,IMM_9,2,,4,18-29,Male
2401,IMM_10,2,,4,18-29,Male
2401,IMM_7,0,,4,18-29,Male
2401,IMM_2,0,,4,18-29,Male
2401,IMM_1,4,,4,18-29,Male
8,IMM_3,4,1,1,60-69,Female
8,IMM_4,0,1,1,60-69,Female
8,IMM_10,4,1,1,60-69,Female
8,IMM_1,0,1,1,60-69,Female
8,IMM_5,0,1,1,60-69,Female
8,IMM_9,4,1,1,60-69,Female
8,IMM_7,0,1,1,60-69,Female
8,IMM_6,3,1,1,60-69,Female
8,IMM_8,3,1,1,60-69,Female
8,IMM_2,0,1,1,60-69,Female
29,IMM_5,0,1,1,30-39,Female
29,IMM_8,4,1,1,30-39,Female
29,IMM_2,3,1,1,30-39,Female
29,IMM_9,3,1,1,30-39,Female
29,IMM_7,0,1,1,30-39,Female
29,IMM_6,3,1,1,30-39,Female
29,IMM_10,3,1,1,30-39,Female
29,IMM_4,0,1,1,30-39,Female
29,IMM_3,4,1,1,30-39,Female
29,IMM_1,0,1,1,30-39,Female
35,IMM_3,4,1,1,60-69,Female
35,IMM_8,4,1,1,60-69,Female
35,IMM_5,0,1,1,60-69,Female
35,IMM_10,4,1,1,60-69,Female
35,IMM_4,0,1,1,60-69,Female
35,IMM_1,0,1,1,60-69,Female
35,IMM_9,4,1,1,60-69,Female
35,IMM_2,4,1,1,60-69,Female
35,IMM_6,4,1,1,60-69,Female
35,IMM_7,1,1,1,60-69,Female
37,IMM_7,4,1,7,30-39,Female
37,IMM_10,3,1,7,30-39,Female
